Name,Value,Prop,ID,Points Totals,Points Per Game,Assists Totals,Assists Per Game,Rebounds Totals,Rebounds Per Game,Fantasy Score Totals,Fantasy Score Per Game,3-PT Made Totals,3-PT Made Per Game,Free Throws Made Totals,Free Throws Made Per Game,Blocks Totals,Blocks Per Game,Steals Totals,Steals Per Game,Personal Fouls Totals,Personal Fouls Per Game,Turnovers Totals,Turnovers Per Game,FG Attempted Totals,FG Attempted Per Game,Games Played Totals,Points Per L10,Assists Per L10,Rebounds Per L10,Fantasy Score Per L10,3-PT Made Per L10,Free Throws Made Per L10,Blocks Per L10,Steals Per L10,Personal Fouls Per L10,Turnovers Per L10,FG Attempted Per L10,Games Played Per L10,PTS+REB+AST,PTS+AST,PTS+REB,REB+AST,BLKS+STLS,PTS+REB+AST L10,PTS+AST L10,PTS+REB L10,REB+AST L10,BLKS+STLS L10
Clint Capela,6.5,FG Attempted,203991.0,779.0,11.984615384615385,58.0,0.8923076923076924,717.0,11.03076923076923,2044.4,31.452307692307695,0.0,0.0,79.0,1.2153846153846153,79.0,1.2153846153846153,45.0,0.6923076923076923,139.0,2.1384615384615384,54.0,0.8307692307692308,536.0,8.246153846153845,65.0,12.444444444444445,1.1111111111111112,10.444444444444445,30.977777777777778,0.0,2.2222222222222223,1.1111111111111112,0.6666666666666666,2.2222222222222223,1.0,7.111111111111111,1.0,23.907692307692308,12.876923076923077,23.015384615384615,11.923076923076923,1.9076923076923076,24.0,13.555555555555555,22.88888888888889,11.555555555555555,1.7777777777777777
Clint Capela,0.5,Steals,203991.0,779.0,11.984615384615385,58.0,0.8923076923076924,717.0,11.03076923076923,2044.4,31.452307692307695,0.0,0.0,79.0,1.2153846153846153,79.0,1.2153846153846153,45.0,0.6923076923076923,139.0,2.1384615384615384,54.0,0.8307692307692308,536.0,8.246153846153845,65.0,12.444444444444445,1.1111111111111112,10.444444444444445,30.977777777777778,0.0,2.2222222222222223,1.1111111111111112,0.6666666666666666,2.2222222222222223,1.0,7.111111111111111,1.0,23.907692307692308,12.876923076923077,23.015384615384615,11.923076923076923,1.9076923076923076,24.0,13.555555555555555,22.88888888888889,11.555555555555555,1.7777777777777777
Clint Capela,2.0,Personal Fouls,203991.0,779.0,11.984615384615385,58.0,0.8923076923076924,717.0,11.03076923076923,2044.4,31.452307692307695,0.0,0.0,79.0,1.2153846153846153,79.0,1.2153846153846153,45.0,0.6923076923076923,139.0,2.1384615384615384,54.0,0.8307692307692308,536.0,8.246153846153845,65.0,12.444444444444445,1.1111111111111112,10.444444444444445,30.977777777777778,0.0,2.2222222222222223,1.1111111111111112,0.6666666666666666,2.2222222222222223,1.0,7.111111111111111,1.0,23.907692307692308,12.876923076923077,23.015384615384615,11.923076923076923,1.9076923076923076,24.0,13.555555555555555,22.88888888888889,11.555555555555555,1.7777777777777777
Clint Capela,9.5,Points,203991.0,779.0,11.984615384615385,58.0,0.8923076923076924,717.0,11.03076923076923,2044.4,31.452307692307695,0.0,0.0,79.0,1.2153846153846153,79.0,1.2153846153846153,45.0,0.6923076923076923,139.0,2.1384615384615384,54.0,0.8307692307692308,536.0,8.246153846153845,65.0,12.444444444444445,1.1111111111111112,10.444444444444445,30.977777777777778,0.0,2.2222222222222223,1.1111111111111112,0.6666666666666666,2.2222222222222223,1.0,7.111111111111111,1.0,23.907692307692308,12.876923076923077,23.015384615384615,11.923076923076923,1.9076923076923076,24.0,13.555555555555555,22.88888888888889,11.555555555555555,1.7777777777777777
Clint Capela,0.5,Free Throws Made,203991.0,779.0,11.984615384615385,58.0,0.8923076923076924,717.0,11.03076923076923,2044.4,31.452307692307695,0.0,0.0,79.0,1.2153846153846153,79.0,1.2153846153846153,45.0,0.6923076923076923,139.0,2.1384615384615384,54.0,0.8307692307692308,536.0,8.246153846153845,65.0,12.444444444444445,1.1111111111111112,10.444444444444445,30.977777777777778,0.0,2.2222222222222223,1.1111111111111112,0.6666666666666666,2.2222222222222223,1.0,7.111111111111111,1.0,23.907692307692308,12.876923076923077,23.015384615384615,11.923076923076923,1.9076923076923076,24.0,13.555555555555555,22.88888888888889,11.555555555555555,1.7777777777777777
Clint Capela + Dejounte Murray,30.5,Points,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clint Capela + Dejounte Murray,15.5,Rebounds,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clint Capela + Robert Williams III,17.5,Rebounds,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clint Capela + Robert Williams III,17.5,Points,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
De'Andre Hunter,13.0,FG Attempted,1629631.0,1029.0,15.35820895522388,94.0,1.4029850746268657,284.0,4.2388059701492535,1584.8,23.65373134328358,100.0,1.492537313432836,171.0,2.5522388059701493,17.0,0.2537313432835821,35.0,0.5223880597014925,199.0,2.970149253731343,82.0,1.2238805970149254,822.0,12.26865671641791,67.0,13.6,1.0,4.4,21.18,1.0,1.0,0.0,0.6,3.2,1.0,12.8,1.0,21.0,16.761194029850746,19.597014925373134,5.641791044776119,0.7761194029850746,19.0,14.6,18.0,5.4,0.6
